"","X","unique_Id","fare_amount","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","passenger_count","total","year","month","day","dayOfWeek","hour","timeOfDay","dist","to_jfk","to_nkw","to_lag","to_msg","to_ts","to_freedom","to_grand","to_bronx","to_nyc"
"12",12,"00000098",5.5,0,0,0,0,3,1.70474809223843,"2012","12",24,"2",11,"Mid-Day",0,17293.4208292288,17361.1197795747,17314.9975129381,17333.5911498632,17332.5607702632,17335.3583980552,17330.9987045611,327.596007390262,17334.2566048011
"13",13,"0000002",4.1,-73.991601,40.744712,-73.983081,40.744682,2,1.41098697371026,"2009","11",6,"6",1,"Night",0.717767487453117,42.1155085892583,33.8522421320409,20.5611651557342,1.74478654651936,3.2600629109048,8.38437908893703,2.52349218621156,17013.1067689065,7.53840082090159
"14",14,"000000232",7,-74.00536,40.728867,-74.008913,40.710907,1,1.94591014905531,"2013","7",2,"3",19,"Night",2.01938382719791,42.4414668074113,29.0740963782793,26.046391238035,7.20049523026363,9.45169829991262,2.34866459293255,8.91756095319415,17015.3351986303,2.05718077696776
"15",15,"0000001",7.7,-74.001821,40.737547,-73.99806,40.722788,2,2.04122032885964,"2011","4",5,"3",17,"Evening",1.67144459807532,42.3301120525456,30.8299384168427,23.8881616721644,4.711891014588,6.92199391916946,4.64173416220845,6.43414890715071,17014.5779139832,3.81626931472088
"16",16,"000000190",5,0,0,0,0,1,1.6094379124341,"2013","11",23,"7",12,"Mid-Day",0,17293.4208292288,17361.1197795747,17314.9975129381,17333.5911498632,17332.5607702632,17335.3583980552,17330.9987045611,327.596007390262,17334.2566048011
"17",17,"00000074",12.5,-73.98643,40.760465,-73.98899,40.737075,1,2.52572864430826,"2014","2",19,"4",7,"Morning",2.60977449374536,42.7264608085667,34.2104512386466,20.4385600534559,2.79230717564892,2.65581076501158,9.17946927937691,3.16314369915806,17013.3399397542,8.35492487675524
"18",18,"000000163",5.3,-73.98106,40.73769,-73.994177,40.728412,1,1.66770682055808,"2009","7",22,"4",16,"Evening",1.51190424771891,40.8262502435859,32.96496087541,21.7006298599291,4.22037008284406,5.85815864721622,6.27470874232331,4.75648683335605,17012.660951223,5.26498127296241
"19",19,"00000044",5.3,-73.969505,40.784843,-73.958732,40.783357,1,1.66770682055808,"2010","7",7,"4",14,"Evening",0.921951718254539,44.6325443425814,41.2279071760697,15.218117342416,8.99331484221775,6.68044544045923,17.9400415807515,7.37934134429262,17010.9326987214,17.1287840065942
"20",20,"0000008",4,-73.979815,40.751902,-73.979446,40.755481,1,1.38629436111989,"2014","12",6,"7",20,"Night",0.399178570398856,42.1836822626266,35.8145672916213,18.6643980932219,2.45426708849675,1.5058416552003,10.7481066898624,0.59998780681361,17012.2114097675,9.88024678415563
"21",21,"000000175",10.5,-73.985382,40.747858,-73.978377,40.76207,1,2.35137525716348,"2010","9",7,"3",13,"Mid-Day",1.68686133016975,42.6861277756776,35.6003385944867,18.9884362452764,2.54107788312509,1.89503281486301,10.7994422112154,1.92119656136263,17012.6372473417,9.96945134831797
"22",22,"0000002",11.5,-73.957954,40.779252,-73.96125,40.758787,1,2.4423470353692,"2013","2",12,"3",12,"Mid-Day",2.2924697999177,41.7914234780966,40.3491068616933,14.7527180448082,7.23462862741181,5.22556787790847,15.5015001393046,4.87243415223861,17009.5477042813,14.5595884724178
"23",23,"0000001",4.5,-73.991707,40.770505,-73.985459,40.763671,1,1.50407739677627,"2009","8",6,"5",18,"Night",0.924295732638941,45.1866544437276,35.7813132207946,19.496061724554,3.83907362082975,1.93664571240781,12.8195600385686,3.73080569145346,17014.2580675783,12.1656503032135
"24",24,"000000199",4.9,-74.000632,40.747473,-73.986672,40.740577,1,1.58923520511658,"2010","12",6,"2",12,"Mid-Day",1.40395817860183,42.9295811544343,32.8268360054754,21.633617223303,1.93645985272736,3.86550183171501,7.84510610503249,3.62411823339767,17014.1223291182,7.10923555665026
"25",25,"00000020",6.1,-73.969622,40.756973,-73.981152,40.759712,1,1.80828877117927,"2009","12",10,"5",15,"Evening",1.01777308822788,42.2381652026988,36.8922692643933,17.6919655680495,3.58209917419843,1.66572523850669,12.0429387307577,1.64351333678471,17011.7061780686,11.1718040697943
"26",26,"00000073",7.3,-73.991875,40.754437,-73.97723,40.774323,3,1.98787434815435,"2011","6",21,"3",16,"Evening",2.53194669719318,44.3507326392368,36.1115757551511,19.0037485307919,3.43479846949077,2.59483085780841,12.4818981698449,3.65548515672274,17013.4773923481,11.7677081211457
"27",27,"000000114",6.5,0,0,0,0,1,1.87180217690159,"2011","2",7,"2",20,"Night",0,17293.4208292288,17361.1197795747,17314.9975129381,17333.5911498632,17332.5607702632,17335.3583980552,17330.9987045611,327.596007390262,17334.2566048011
"28",28,"000000168",4.5,-73.988893,40.76016,-73.986445,40.757857,3,1.50407739677627,"2011","6",28,"3",19,"Night",0.328770852684316,43.9739522908325,35.0795782986454,19.6565556472629,2.14544783866773,0.510962167617528,11.1778443818144,2.25474175645466,17013.7655678957,10.4629685008149
"29",29,"0000002",9.3,-73.989258,40.690835,-74.004133,40.72569,1,2.23001440015921,"2012","5",4,"6",6,"Morning",4.07346309048717,39.8863380042315,30.5326294485728,26.2609801668291,9.54679344780287,11.602478525385,4.81266827554558,10.7179260327131,17013.1166508357,4.26455876467179
"30",30,"00000026",4.5,-73.98102,40.73776,-73.980668,40.730497,2,1.50407739677627,"2013","8",11,"1",0,"Night",0.808153160788718,39.9441960193367,34.1292036012303,20.5925601173163,4.22851405194284,5.55591713866714,7.29489872800153,4.17822398401353,17011.5855280135,6.21182715113856
"31",31,"000000160",5.5,-73.976075,40.752422,-73.981082,40.759285,1,1.70474809223843,"2014","2",19,"4",16,"Evening",0.871913268998996,42.3282458813565,36.1789611500179,18.3706620391507,2.89999402480429,1.3883662488112,11.2742566771556,0.901588044402794,17012.1287804341,10.4129542617438
"32",32,"0000001",22.54,-74.0104827880859,40.7176666259766,-73.9857711791992,40.6603660583496,1,3.11529150861163,"2015","6",21,"1",21,"Night",6.70355139616746,39.0043253076886,30.4186187582332,29.5771984215036,13.9674368549377,16.0157820306626,6.87276812863805,15.0923677499555,17012.5417053478,6.74992633727161
"33",33,"000000170",31.9,-73.873027,40.773883,-73.984545,40.769545,3,3.4626060097908,"2009","1",9,"6",16,"Evening",9.40329565838968,39.2725175754742,45.3942700951602,9.9426570921342,12.7113510545253,10.7689136433933,20.4153546645143,11.0567809931061,17004.5676549354,19.4775021257704
"34",34,"000000194",5.7,-73.976162,40.744988,-73.990002,40.738323,2,1.7404661748405,"2011","9",7,"4",14,"Evening",1.38158850659753,41.1629683478882,34.2885429048141,20.1653867699221,2.96013081550223,4.0454528875475,8.23308826659727,2.79040042033357,17012.2738210111,7.2902112276972
"35",35,"0000001",18.1,-73.993717,40.740785,-73.999272,40.676617,1,2.89591193827178,"2011","9",7,"4",23,"Night",7.15050280616069,40.3455906489505,31.1137389095364,26.4673398399367,9.31089727379854,11.3681760840932,7.72135402617398,10.5834501959002,17013.10276635,7.36477207975454
"36",36,"0000001",58,-73.9833297729492,40.7387199401855,-73.9331970214844,40.847225189209,1,4.06044301054642,"2015","1",11,"1",3,"Morning",12.7820556883697,46.7781738171709,43.8593360574569,19.3157601636877,13.4500276308495,12.9979880314247,20.2582604831013,12.7822819467888,17010.3455859839,19.3786425023224
"37",37,"0000001",4.5,-73.9901733398438,40.7564468383789,-73.9856185913086,40.7628288269043,1,1.50407739677627,"2015","3",12,"5",8,"Morning",0.806699080523116,44.095142661091,35.1086814223533,19.6697752502505,2.23445862517926,0.946002234358201,11.2889059204767,2.50038965521427,17013.8297199875,10.5827535170024
"38",38,"0000002",5.3,-73.995199,40.75474,-74.005416,40.751084,1,1.66770682055808,"2012","1",19,"5",10,"Mid-Day",0.951800839911073,44.9496794855331,32.5709230816669,22.0520497112681,1.50948657802195,2.88755367025884,9.24056252931688,3.91653674985935,17015.5984920628,8.71484393952885
"39",39,"000000113",9,-73.95774,40.773617,-73.977087,40.758465,6,2.19722457733622,"2013","11",24,"1",11,"Mid-Day",2.34380247655815,42.3525964064919,38.8384780829044,16.0532078794186,5.5879491153282,3.50279916212392,14.1761349830773,3.48641301464459,17010.7134521329,13.2877841688108
"40",40,"0000003",9.8,-73.972673,40.759186,-73.969897,40.791367,1,2.28238238567653,"2009","3",2,"2",20,"Night",3.5859907143794,44.2292887179037,39.3161237859203,16.7867972636062,6.95172864069171,4.87758267403488,15.688241823462,5.15913959202302,17011.7442567921,14.8737950938681
"41",41,"0000002",8.1,-73.984267,40.744961,-73.981646,40.759608,1,2.09186406167839,"2011","3",29,"3",15,"Evening",1.64356805935343,42.4779010202407,35.2025193150354,19.3467176718686,2.40182394563203,1.85291299575245,10.2088867500096,1.9009452247507,17012.7021098977,9.36467390610081
"42",42,"0000004",10.9,-74.003899,40.725514,-73.976484,40.765537,2,2.3887627892351,"2011","10",15,"7",10,"Mid-Day",5.0139358273761,42.9089391646009,33.6331645334301,21.2128086929999,5.11248833930678,5.07107062938169,8.28209180267059,5.19671902216566,17013.6142227456,7.52217840170357
"43",43,"0000003",17.5,-73.97845,40.76292,-74.008482,40.716502,1,2.86220088092947,"2013","11",22,"6",8,"Morning",5.74825884060918,42.7869527819129,32.7409884257056,22.2661817804379,5.85721079796415,5.82608468354454,6.90508726472136,5.9525092672421,17013.9106780159,6.22403812844189
"44",44,"00000022",12.1,-73.988558,40.7372,-73.958688,40.780748,1,2.4932054526027,"2009","6",10,"4",21,"Night",5.45687047329047,42.430505348352,37.3678642207346,17.8433555790505,5.99042358494724,5.72423949214174,12.2955227526692,5.45805767492655,17011.4422702594,11.393129754944
"45",45,"000000250",5.3,-73.997037,40.737095,-73.986128,40.735043,1,1.66770682055808,"2011","3",4,"6",18,"Night",0.947036067268632,41.7159609153903,32.5309881118118,21.9966635443076,3.34639706409576,5.27904976577924,6.42735995955294,4.51157959311803,17013.4441094249,5.55015325214976
"46",46,"0000003",6.9,-73.971114,40.758944,-73.97793,40.736613,1,1.93152141160321,"2011","8",31,"4",21,"Night",2.54861518630444,40.7823652777437,36.1747440630394,18.4188781990048,4.11954183162647,3.72874123618763,10.2563684411203,2.65288914938252,17011.1166747277,9.25993935910582
"47",47,"000000119",4.5,-73.980822,40.74442,-73.991093,40.748797,1,1.50407739677627,"2011","6",1,"4",20,"Night",0.992737736302406,42.152785941092,34.23244190203,20.2017822433254,1.5282298968855,2.88154513718283,8.90160998811233,2.21811087944986,17012.9586264938,8.05540727963431
"48",48,"00000028",3.3,-73.988877,40.763577,-73.985573,40.760262,1,1.19392246847243,"2011","12",14,"4",7,"Morning",0.461853470520608,44.3022610176671,35.4371142730403,19.4487644428804,2.77318030384889,0.766235211100927,11.8077950914994,2.65634435527438,17013.8151271599,11.106140109338
"49",49,"00000083",3.3,-73.98666,40.756072,-73.989727,40.751702,5,1.19392246847243,"2012","7",18,"4",0,"Night",0.550327239765378,43.3822699012575,34.5135813137673,20.0322753274107,1.17738857910363,1.23103363408224,10.0966219675046,1.94166779050127,17013.6359695219,9.35080643571095
"50",50,"000000154",9,-73.992253,40.742657,-73.983597,40.755947,1,2.19722457733622,"2013","1",29,"3",12,"Mid-Day",1.64788322320505,42.7931475814263,34.1611861085617,20.3274177334002,1.90149481858925,2.255911970882,9.20276051975692,2.33831166884314,17013.3979720143,8.41152576188395
"51",51,"0000007",9.7,-73.985582,40.739765,-73.973899,40.760426,1,2.27212588550934,"2011","12",6,"3",9,"Mid-Day",2.49931561723086,41.8008941905639,35.528577293337,19.0238563324626,3.34227491964113,3.08664648901928,10.0788668959012,2.50525298822296,17012.0778363248,9.16990593629738
"52",52,"0000003",5.5,-73.952825,40.772048,-73.952194,40.781152,3,1.70474809223843,"2012","10",6,"7",20,"Night",1.01371200899848,42.0759576990377,42.1357927183101,13.2705500728744,9.03774317849046,6.80134602616569,17.53571188144,6.77422585583251,17008.6959667201,16.5966836605275
"53",53,"0000005",8,-73.980298,40.783723,-73.979628,40.763179,1,2.07944154167984,"2013","1",23,"4",7,"Morning",2.285085178134,44.9963093206705,37.780872550602,18.0327344506345,5.68120821025261,3.45206820824402,14.6682548657223,4.64247358407674,17013.1017279423,13.9384170042196
"54",54,"00000014",7.5,-73.977708,40.746212,-73.975782,40.745055,1,2.01490302054226,"2013","9",7,"7",3,"Morning",0.207067953162243,40.7466151713828,35.5943270941175,18.8313038663397,3.00813984213701,3.27017034107103,9.58357669560264,1.58113729319012,17011.3935593926,8.60063710957161
"55",55,"0000002",25.5,-73.974497,40.751603,-73.934927,40.851567,4,3.23867845216438,"2013","11",10,"1",1,"Night",11.6037739645791,47.4603188379077,45.2663176315535,18.5555152816473,13.8656950973569,12.3425090679101,22.222989130165,11.8132941817062,17010.1222837535,21.3749975821697
"56",56,"0000002",15.3,-73.97151,40.755886,-73.968067,40.801173,1,2.72785282839839,"2012","1",4,"4",18,"Night",5.04402266287979,44.6160338044045,39.9999189206571,16.8987503563803,7.96354433696501,6.10717503334507,16.512422784366,6.04053554083329,17011.6346296567,15.6903846558145
"57",57,"00000097",34.67,-73.985427,40.758853,-73.872907,40.774497,1,3.54587475969693,"2010","5",31,"2",18,"Night",9.63435442314002,38.6542270457618,44.8142178001989,10.1564562136761,11.6392212216745,9.63435482297105,19.3332922690643,10.0856417355089,17004.4178089424,18.3675423250098
"58",58,"00000090",9.7,-73.979542,40.727498,-73.999315,40.730088,4,2.27212588550934,"2011","3",19,"7",21,"Night",1.69086360710947,40.6076239171856,32.4078438295256,22.4492693705451,5.13536502580564,6.94324535358092,5.56258785697488,5.93868685021664,17012.7805418719,4.572918151062
"59",59,"0000002",13.7,-74.002113,40.739582,-73.971918,40.791899,2,2.61739583283408,"2012","7",19,"5",23,"Night",6.34890058793695,45.2144140193082,36.0767020509365,20.0144291169618,6.36472661309075,6.41580068562421,12.6112260800632,6.937208691635,17013.9433262682,11.9670397690387
"60",60,"0000002",6.5,-73.98543,40.736011,-73.982501,40.724802,1,1.87180217690159,"2009","3",23,"2",12,"Mid-Day",1.27058455554739,39.9856370568531,33.4070553195515,21.4803502455849,4.74682807734543,6.3431342788396,6.43470241833033,5.11512429455024,17011.9447653868,5.33804400592411
"61",61,"00000069",5,-73.996148,40.74189,-73.992202,40.739425,6,1.6094379124341,"2014","7",16,"4",10,"Mid-Day",0.430870770126791,42.6120114231292,32.4576610857406,21.9693545967419,2.22059135826118,4.35462621821497,7.02372017711672,3.9413913186486,17014.0667263737,6.25363700388672
"62",62,"0000002",4.5,-74.009137,40.713436,-74.002823,40.723428,3,1.50407739677627,"2011","4",22,"6",23,"Night",1.23191440003925,42.1047870402921,29.1464805433298,26.0060899584698,7.44259542695656,9.66340894597941,1.85767146097449,9.03437542667261,17015.082431044,1.31821998713197
"63",63,"00000078",4.9,-74.003985,40.731677,-73.999765,40.723512,1,1.58923520511658,"2012","1",2,"2",14,"Evening",0.975062450660794,42.3419251197586,30.324718947454,24.4072618976533,5.32355144079334,7.54404345414894,3.91747456491912,7.01049396089421,17014.7894628009,3.13717106729459
"64",64,"000000198",7,-73.966203,40.7675,-73.980915,40.77424,6,1.94591014905531,"2014","5",1,"5",9,"Mid-Day",1.44795796944638,43.7741673108589,38.4155583927222,16.8869988039966,5.8114294413578,3.59847729292122,14.646012001852,4.30391547015541,17011.9336193112,13.8448743919085
"65",65,"0000003",7.3,-74.003919,40.753019,-73.992368,40.735362,1,1.98787434815435,"2011","11",7,"2",10,"Mid-Day",2.19129234584039,43.6073858976921,32.1927657547603,22.4044113313544,2.61480015970894,4.40267927470127,7.63466398906291,4.56384846385413,17014.8722845192,6.96158166559494
"66",66,"0000003",7.5,-74.004736,40.715882,-74.017723,40.705141,1,2.01490302054226,"2012","10",7,"1",17,"Evening",1.62009156010814,42.2525253031246,27.9390998672177,27.6902747911563,9.41030876520756,11.6408578105044,1.72753712444016,11.0006134059183,17015.617449889,1.62179520964431
"67",67,"000000187",8.5,-73.991467,40.750575,-73.98575,40.741547,4,2.14006616349627,"2014","1",17,"6",9,"Mid-Day",1.11341917371998,42.4621936939851,33.7820372875935,20.677829102954,1.34895948091316,3.00017184748362,8.56370950969053,2.65893651642709,17013.3740215649,7.74543430596826
"68",68,"0000005",16.5,-73.970323,40.75084,-73.998392,40.724862,6,2.80336038090653,"2014","4",29,"3",18,"Night",3.73320843663577,41.04233812325,33.8659411231914,20.7798299076587,4.82596823928207,5.48081430718669,7.43381992975286,4.18856259705974,17012.324639589,6.45261901457366
"69",69,"0000001",11.5,-73.9792785644531,40.7234382629395,-74.0046081542969,40.7469482421875,6,2.4423470353692,"2015","4",12,"1",10,"Mid-Day",3.37471294075032,41.6869333430127,32.5613043502982,22.3710204563885,4.25924177701443,6.08694040934419,6.99334197404762,5.65421020802909,17013.4665528165,6.15483055611495
"70",70,"0000007",5,-73.9547958374023,40.7793350219727,-73.9449310302734,40.780086517334,1,1.6094379124341,"2015","5",12,"3",23,"Night",0.834806874268293,42.2647431784346,42.8431074159105,12.7767559380356,9.80892194862416,7.53925057394968,18.3595369378781,7.59315297177865,17008.3902915064,17.4238456934502
"71",71,"0000002",6.9,-73.995781,40.723411,-74.005004,40.71895,2,1.93152141160321,"2009","8",2,"1",2,"Night",0.922055450880219,41.4927126043713,30.1876069605021,24.8751295105814,6.66072642159916,8.79571565920781,2.89534445405166,8.03749625621418,17014.2736299715,1.9068329087497
"72",72,"00000010",3.7,-74.00163,40.730767,-73.997112,40.737533,1,1.30833281965018,"2010","1",31,"1",10,"Mid-Day",0.843170454487974,42.6542146671975,31.1525645444137,23.3622990991551,3.77654263809123,6.0066044511452,5.32411093188473,5.5699220555485,17014.6517557682,4.60220465331898
"73",73,"000000210",6.9,-73.955118,40.768942,-73.963495,40.761887,2,1.93152141160321,"2010","5",14,"6",8,"Morning",1.05504952263887,41.1859775662238,40.0060476957183,14.6946784951027,6.64038499468207,4.6106789841789,14.8498916097544,4.13388276258068,17009.3461999447,13.8869497925889
"74",74,"00000017",10.1,-73.977788,40.771838,-73.9662,40.778113,2,2.31253542384721,"2012","5",21,"2",15,"Evening",1.19957968406359,44.1991301251063,39.0634724214002,16.5396720566697,6.54347395362273,4.22900507692977,15.5174410358977,5.10239956633173,17011.8486294497,14.7258684385993
"75",75,"0000001",16.5,-73.9828,40.745287,-74.01425,40.702935,1,2.80336038090653,"2014","12",8,"2",16,"Evening",5.40387252401036,41.8357087240717,30.8984637217031,24.4316319628793,6.63776842353133,8.21626623458951,5.53546723057605,7.30331166596951,17014.089298737,5.40445536199308
"76",76,"00000034",15.07,-73.961933,40.795585,-73.962253,40.764817,2,2.7127060126384,"2010","8",16,"2",1,"Night",3.4213515977697,43.8431470349565,41.1930118779448,15.2265741019019,8.73911141651688,6.55522798532159,17.4067760182741,6.78282613532651,17010.4329136002,16.5460105865814
"77",77,"0000003",7.7,-73.996601,40.736569,-73.982152,40.744322,1,2.04122032885964,"2010","12",4,"7",14,"Evening",1.49166902632341,41.9200087277623,33.2004961962334,21.2445818921395,2.74271631922637,4.30532202826481,7.40087444237199,3.44737654019818,17013.2640346484,6.55013469891704
"78",78,"00000015",24.9,-74.006662,40.73121,-73.92594,40.825588,1,3.21486780347066,"2011","8",12,"6",4,"Morning",12.5031741643979,45.6917421845511,40.7194350875278,19.1520244359547,12.5164379094448,12.5074627693603,16.688953694155,12.6275014741826,17011.0585058966,16.0160639273588
"79",79,"00000028",7,-73.988425,40.764342,-74.001642,40.745752,2,1.94591014905531,"2013","2",6,"4",22,"Night",2.34784017672883,44.5329031441494,33.6057258949309,21.1407638213437,2.46741592293645,2.68643334016912,9.92213399297551,3.80215107097838,17014.8164777385,9.31570350195791
"80",80,"0000001",8.5,-73.994128,40.735087,-73.986393,40.751461,1,2.14006616349627,"2014","6",11,"4",22,"Night",1.93380627646036,42.3991292320499,33.3106253000167,21.1833201460369,2.31478199098249,3.589258911773,7.84613645652256,3.20921340908084,17013.5297408255,7.02150009248924
"81",81,"000000131",5.7,-73.97383,40.763717,-73.98942,40.771522,1,1.7404661748405,"2010","8",19,"5",16,"Evening",1.5738326916893,44.3455206587286,36.8825077857018,18.3312485307022,4.56983772125239,2.5397833337048,13.4255470815246,3.58976532973997,17013.1299051601,12.690714778748
"82",82,"00000040",5,-74.01336,40.702272,-74.01699,40.709245,1,1.6094379124341,"2013","3",10,"1",15,"Evening",0.833554696319902,42.4834692162864,27.1176970632607,28.8408012768428,10.6197867697252,12.8724445037031,1.64857890912859,12.2629961413544,17016.0701427841,2.4950806094521
"83",83,"0000001",8.5,-73.95371,40.790813,-73.957015,40.777676,1,2.14006616349627,"2013","6",14,"6",8,"Morning",1.4870345239545,43.6450374384335,42.5299134439306,13.8299122124358,9.8951790173071,7.57962309171828,18.6827067373892,7.93305818598474,17009.4914372871,17.8044520044922
"84",84,"00000048",17,-74.009728,40.705167,-73.970897,40.749307,1,2.83321334405622,"2013","7",8,"2",21,"Night",5.89887998050518,40.9947580911895,32.4022696976534,22.8799756383358,7.12543341299399,7.92778440183361,6.31472333768984,6.60520322313494,17012.8625546502,5.96005761644795
"85",85,"0000003",8,-73.950688,40.828531,-73.964101,40.80814,1,2.07944154167984,"2014","3",21,"6",11,"Mid-Day",2.5327826950052,49.6815723844034,46.4737213729185,16.7331542728487,16.2599009495917,14.0204116844006,25.3162709585817,14.984947761321,17011.271817339,24.5938817859831
"86",86,"0000004",12,-73.995387,40.749482,-73.975789,40.748741,1,2.484906649788,"2014","10",2,"5",13,"Mid-Day",1.65296115185854,42.4214102537687,34.4984172190271,19.9464111338881,1.69841409928479,2.7344312727063,9.47175802752123,2.02921742369348,17013.0032729516,8.66386938763299
"87",87,"0000004",12.5,-73.917399,40.746485,-73.973756,40.763836,1,2.52572864430826,"2011","8",31,"4",8,"Morning",5.1240951647941,37.968141862622,41.4029723736295,13.7092115019927,8.6396672131462,6.96928990499395,15.5136236011729,6.35648241517483,17006.6411962469,14.4846027587901
"88",88,"00000034",7.5,-73.990815,40.730495,-73.978337,40.751085,1,2.01490302054226,"2014","5",19,"2",6,"Morning",2.51931999557522,41.327911821761,34.0333902691258,20.5399724231613,3.50560904882648,4.23403645110229,7.93650548536587,2.92603443771174,17012.4845602756,6.97728226502027
"89",89,"00000019",6.9,-74.007443,40.732547,-73.991112,40.742312,5,1.93152141160321,"2012","4",5,"5",5,"Morning",1.75277340238963,43.0201109681683,31.4060738848305,23.0439445148211,3.25117289087995,5.39551785458926,6.05393880681115,5.03864603808769,17014.774773324,5.42975382690546
"90",90,"0000006",5,-73.9887466430664,40.7449531555176,-73.9956817626953,40.7442207336426,2,1.6094379124341,"2015","3",4,"4",14,"Evening",0.589892911128547,42.7930690842873,33.0782982847567,21.3330427022101,1.45500732841657,3.44073034138812,7.95429675478633,3.11941065255955,17013.9082619971,7.19365193324588
"91",91,"0000004",10.5,-74.001135,40.730979,-73.984424,40.76463,1,2.35137525716348,"2010","4",27,"3",21,"Night",3.99786753491853,43.434791664221,33.3879164947853,21.4012183765172,4.00996432368925,4.02550776054291,8.5494580468735,4.60581054464247,17014.1381352845,7.82969835507344
"92",92,"0000004",7.7,-73.968881,40.764533,-73.985311,40.748956,1,2.04122032885964,"2011","2",22,"3",11,"Mid-Day",2.21703317478783,42.305628048273,36.4913875004359,18.1022866446195,3.2910967492203,2.60862887970723,11.5514753738122,2.2907897618779,17011.9214813319,10.687122378101
"93",93,"0000005",11,-73.9810562133789,40.7742652893066,-73.9590454101562,40.7806739807129,2,2.39789527279837,"2015","4",3,"6",16,"Evening",1.98564479186296,44.3545424479064,39.6210904966395,16.1930883590531,7.27010534916255,5.00958924399464,16.2052561657895,5.88584769781587,17011.6329392796,15.4173134600789
"94",94,"0000002",5.7,-73.992826,40.751271,-73.982786,40.742432,1,1.7404661748405,"2009","1",9,"6",15,"Evening",1.29666783298584,42.4434804758816,33.9770361800233,20.4956523907059,1.36504278300522,2.91067252762269,8.81943661703203,2.56072957962786,17013.2746401049,8.00054990644928
"95",95,"000000194",9,-73.946852,40.775802,-73.96434,40.760703,1,2.19722457733622,"2013","1",9,"4",14,"Evening",2.23333230071797,41.2011518012588,40.8472049374799,14.0197125137061,7.52325863787532,5.48924287132473,15.7323624045548,5.02558558601749,17008.8529722047,14.7639507509208
